	clade	species	ts	te	order	age
0	0.0	Abdounia africana	-65.77581207558889	-56.18644634441112	Carcharhiniformes	9.589365731177772
1	0.0	Abdounia beaugei	-59.47326618793335	-31.936175810022224	Carcharhiniformes	27.537090377911124
2	0.0	Abdounia biauriculata	-60.11063450663334	-39.96909551272223	Carcharhiniformes	20.141538993911112
3	0.0	Abdounia enniskilleni	-48.7592437898	-33.84959149986667	Carcharhiniformes	14.909652289933334
4	0.0	Abdounia furimskyi	-37.0767815545	-19.540143361666665	Carcharhiniformes	17.536638192833337
5	0.0	Abdounia lapierrei	-53.231970321266665	-34.28414472492222	Carcharhiniformes	18.947825596344444
6	0.0	Abdounia lata	-38.36682916054445	-34.45004368156667	Carcharhiniformes	3.916785478977779
7	0.0	Abdounia minutissima	-63.13071117839999	-34.57388661765555	Carcharhiniformes	28.556824560744438
8	0.0	Abdounia vassilyevae	-40.40994655473334	-33.868218385922226	Carcharhiniformes	6.541728168811112
9	0.0	Acanthoscyllium sahelalmae	-86.12378396727777	-83.33727409678887	Orectolobiformes	2.7865098704888993
10	0.0	Acrolamna acuminata	-95.73594240366668	-53.2442934420889	Lamniformes	42.49164896157778
11	0.0	Acrosqualiolus mirus	-48.44296458183332	-36.04064377321111	Squaliformes	12.402320808622214
12	0.0	Acutalamna karsteni	-100.70340323387778	-93.66716512323332	Lamniformes	7.036238110644462
13	0.0	Adnetoscyllium angloparisensis	-86.73521573172222	-72.36909061948889	Orectolobiformes	14.366125112233334
14	0.0	Aetobatus arcuatus	-31.632433917155563	-3.8802816937333335	Myliobatiformes	27.75215222342223
15	0.0	Aetobatus cappettai	-8.0683423482	-4.277507936366667	Myliobatiformes	3.790834411833333
16	0.0	Aetobatus irregularis	-60.77775864123332	-35.76688511058889	Myliobatiformes	25.01087353064443
17	0.0	Aetobatus narinari	-21.462812103422223	-0.0	Myliobatiformes	21.462812103422223
18	0.0	Aetobatus sulcatus	-55.94984732432223	-45.702062251	Myliobatiformes	10.247785073322227
19	0.0	Aetomylaeus bovinus	-7.25455638561111	-0.0	Myliobatiformes	7.25455638561111
20	0.0	Aetomylaeus crassus 	-11.701948006588887	-4.508500342355555	Myliobatiformes	7.193447664233332
21	0.0	Aetomylaeus cubensis	-27.23812492133333	-4.859069397766667	Myliobatiformes	22.379055523566663
22	0.0	Aetomylaeus meridionalis	-21.262523512522225	-5.483682612011111	Myliobatiformes	15.778840900511113
23	0.0	Agaleorhynchus britannicus	-86.97282367296667	-74.87562356541112	Rajiformes	12.097200107555551
