	clade	genus	ts	te	ts.1	te.1	ts.2	te.2	ts.3	te.3	ts.4	te.4	ts.5	te.5	ts.6	te.6	ts.7	te.7	ts.8	te.8	ts.9	te.9
0	0.0	Abdounia	66.00325775135856	5.22033308788176	65.96984647687584	14.085048711628396	65.92486356010055	15.42711357224606	65.02130701915453	5.700248689980635	65.93666268612061	12.332434862081204	65.87308750842027	9.099984163127017	66.05012316143377	12.457741506047832	65.9365978063516	15.349460017334383	65.84513581220928	11.792436677312816	65.09017101401558	10.686921063912084
1	0.0	Acanthias	32.106561632063645	8.504346462944936	21.552614562406863	9.112796633661372	18.655425985485103	10.37571333113334	16.949864140577464	9.97237688306231	18.89438045673556	9.976403488010888	22.13704810485688	8.63475838661325	19.83007356209122	8.860470383616022	19.592663450828223	9.878841942187014	21.44183024692004	9.005255344493325	20.16539863882941	9.66522366602398
2	0.0	Acanthoscyllium	155.5176609846052	59.96957303677935	139.5043970767561	64.41077168979734	138.93487707637	64.4541427566414	125.449756002256	63.33579144874486	126.87966260220016	58.99676560712839	143.51705874064103	60.494426244503416	139.25776474793824	60.48821224309834	119.20369398672858	62.8019710903123	116.93202956936489	65.39326049558956	126.17907484600336	61.77733465785347
3	0.0	Acrolamna	101.75486917449255	50.817040004881264	98.780968995419	50.87728653579295	119.17543494350518	51.27595605454649	124.29382624855305	54.267891956888285	98.62680777721634	45.92698600819592	101.5059980254148	50.44517491122747	101.01689697343993	53.18251513204826	110.43648181737936	52.69245198076214	99.21534798066511	51.08529124470053	132.11940951210065	54.07128533588534
4	0.0	Acrosqualiolus	51.92551821431738	34.554759344677365	57.51180115970983	34.547533662843115	53.65780552642158	34.67299689367076	54.94646272680334	28.82618087817373	55.10146697623276	33.38820417239192	47.327448483015225	41.92151364851675	53.782319194777706	32.57940443695468	56.93088200374686	35.14211030058184	51.395870036787805	31.570941154349946	62.82999916057735	29.273528147815888
5	0.0	Acutalamna	104.35775990717426	83.91574640436238	103.37543159272572	95.94069888987262	109.64612130825078	89.26270283637074	102.2052658906587	92.4439492033778	108.2647354847032	83.9281502606865	107.46717757359222	89.56171174062152	108.71590485091474	87.07036142065797	107.60927133415451	89.7287923200976	109.15599942037902	89.80010575228084	115.38359144410444	84.24711991377343
6	0.0	Adnetoscyllium	96.67025601221526	71.74377839601516	103.17924637038335	71.99528675056837	95.81690670476809	73.40210485825108	110.46750417851035	70.99885964223107	123.16428920076925	69.29853009223605	101.86012115839958	76.57804936022463	123.77889597847845	68.39991591881473	100.6855601105453	73.5739704469425	99.07603379035288	72.4835943400659	101.68478047621387	70.56971873334989
7	0.0	Aetobatus	65.79037347873563	0.0	65.91874982943432	0.0	66.0855441916618	0.0	64.63315483088736	0.0	66.03473333325186	0.0	65.68377470070881	0.0	64.61850140448904	0.0	65.03803532560447	0.0	65.92086104412172	0.0	64.99090036856097	0.0
8	0.0	Aetomylaeus	55.04975527144461	0.0	55.653037156797005	0.0	54.56911825216876	0.0	52.01122459241744	0.0	54.74318367520993	0.0	52.17040059049006	0.0	55.71812515273722	0.0	56.41494276968962	0.0	54.8317734623386	0.0	56.3769236843843	0.0
9	0.0	Agaleorhynchus	96.31974219278976	68.34370972946411	88.28024348516217	76.25374055762045	92.9740759869064	64.51394006137012	93.49558122125264	69.19584250476392	88.71498097352217	74.4852627351953	89.50328034149105	78.32236683915636	91.17157516020966	74.18465627491759	90.02954413036485	70.35422455116151	94.45933492011947	65.70711225752387	91.04708778549956	66.24456515226761
10	0.0	Almascyllium	108.86172111811334	74.14450235989969	107.15612131833024	80.30786994342596	100.8365402541654	84.13172277805208	100.64037778662254	80.41275893433124	110.84677548932984	78.15382377900092	110.40798389408016	73.13292802895066	96.88959383511444	83.78387580382017	105.3899637843258	80.36296756359317	105.2510219054744	71.8217725609057	109.66052507825204	81.42335666194847
11	0.0	Alopias	56.29197291807744	0.0	54.90145309986757	0.0	56.43466036092277	0.0	53.26023832794252	0.0	55.46479482198839	0.0	55.178985218526726	0.0	54.93948874465602	0.0	55.4056808125443	0.0	54.90917417638141	0.0	55.58814107980715	0.0
12	0.0	Angolabatis	73.12063434823509	64.8673129508978	91.3653087510547	66.18532722499951	78.31570861022324	67.08162849091572	89.74593872888364	64.18959285605226	86.58041566223784	63.5444881264735	92.23570275395517	70.17111666125494	84.9036828830034	65.37667135637307	86.45083506043402	64.32195881445608	85.50951731191286	71.62874483893773	84.1880026345594	65.5591041006578
13	0.0	Angoumeius	49.836365569275074	34.22042340110876	49.97843198175956	39.69938291140509	47.152134225732986	39.694752852775736	51.85838145964146	34.292735002705804	52.01839945947948	38.05889903989603	47.97029128303196	42.30914079464324	50.12916668627162	37.23781844023237	51.628520462935	39.63054380873458	57.7867942554733	31.240597451260832	56.55447712363184	32.70231655209077
14	0.0	Ankistrorhynchus	100.20130772666718	62.240882405389655	93.85011708006172	65.49358530433511	92.28893185410595	62.6166215968016	93.38472961510593	63.79736961615919	94.28671429612888	56.76680136871804	92.28585618695908	60.73871245816184	94.87248966233172	63.31188758043619	95.72379323636764	58.71241228171548	94.20166705112489	64.44733093819096	92.50940636655872	59.36092119975945
15	0.0	Annea	142.66921686001035	58.45577604824738	123.32796507940373	64.99457473591058	117.68782528346836	62.779525046906926	126.96857558077971	55.871310853240736	127.2370779405704	60.64722040036965	120.55536937076371	63.09342192512272	111.4611608922771	64.3379260217171	115.75053264152317	39.19450987902579	116.84118295913076	64.5716264510204	114.86298783246966	63.85171403244933
