	clade	genus	ts	te
0	0.0	Abdounia	65.74431826394445	11.88063732931111
1	0.0	Acanthias	19.70035041268889	9.595951633522224
2	0.0	Acanthoscyllium	130.6106413756	62.02531544496667
3	0.0	Acrolamna	109.48652018901112	51.636078394122215
4	0.0	Acrosqualiolus	54.36268960363334	33.89915464826667
5	0.0	Acutalamna	107.58265558335552	89.47245033017778
6	0.0	Adnetoscyllium	106.14027160323332	71.99706378693334
7	0.0	Aetobatus	65.4470199156111	0.0
8	0.0	Aetomylaeus	54.71884017704445	0.0
9	0.0	Agaleorhynchus	90.93939950248888	71.12673978244445
10	0.0	Almascyllium	104.86208727881112	79.59095118774445
11	0.0	Alopias	55.11724356726667	0.0
12	0.0	Angolabatis	86.34071228927779	66.59362816848889
13	0.0	Angoumeius	51.60682182884445	37.239509873433335
14	0.0	Ankistrorhynchus	93.67973689878887	61.65042062788889
15	0.0	Annea	119.00048042326668	59.68944778903332
16	0.0	Anomotodon	136.50707880182222	14.5922398211
17	0.0	Anotodus	25.87340121575555	4.818424013455556
18	0.0	Anoxypristis	81.33199334487777	0.0
19	0.0	Apocopodon	94.07999563695556	56.36478785384444
20	0.0	Aprionodon	60.39248936384445	5.270798612122223
21	0.0	Apristurus	63.71098219372222	0.0
22	0.0	Araloselachus	86.86587879122222	0.0461603749555555
23	0.0	Archaeolamna	126.25997238813336	49.40966081187779
24	0.0	Archaeomanta	65.67662741453333	30.447702165355555
25	0.0	Archaeotriakis	83.77327550238888	61.65026777548889
26	0.0	Archingeayia	111.75498880435556	86.96823733418888
27	0.0	Arechia	56.52592350502222	37.46734110424445
28	0.0	Argoubia	47.25542090288888	26.80478770052222
29	0.0	Asymbolus	19.643594356599998	0.0
30	0.0	Ataktobatis	84.36308941698887	65.06649250625556
31	0.0	Atlantoraja	51.32099387304444	0.0
32	0.0	Aturobatis	59.62030978669999	30.552222979255557
33	0.0	Baharipristis	102.7275362434778	92.85047981828887
34	0.0	Baibishia	87.56659050664443	83.07251648222223
35	0.0	Bathytoshia	23.84624838874445	0.0
36	0.0	Belemnobatis	145.89667611945555	122.00936160033336
37	0.0	Benthobatis	14.49765156173333	0.0
38	0.0	Beringraja	9.161423212355556	0.0
39	0.0	Biropristis	95.13394010142224	62.88321563205555
40	0.0	Borodinopristis	87.88384579456668	72.27262264386667
41	0.0	Brachaelurus	141.53873489655555	0.0
42	0.0	Brachycarcharias	85.17878561772221	21.298894750288888
43	0.0	Brachyrhizodus	133.7941209691889	65.2579999527889
44	0.0	Britobatos	91.54727982366666	61.11330071612222
45	0.0	Burnhamia	65.29053980935554	13.914149258933335
46	0.0	Bythaelurus	26.238503034744443	0.0
47	0.0	Cantioscyllium	129.59570988905557	56.9889274559
48	0.0	Carcharhinus	92.67365186128887	0.0
49	0.0	Carcharias	134.29312502006667	0.0
50	0.0	Carchariolamna	29.34602420993333	9.823553927922225
51	0.0	Carcharocles	66.32207060003333	7.011865626622222
52	0.0	Carcharodon	58.66911624292223	0.0
53	0.0	Carcharoides	43.49713114842222	3.8099771383444447
54	0.0	Cardabiodon	102.12817757053332	83.32586409434444
55	0.0	Casieria	65.82691968132224	36.05211329563333
56	0.0	Cederstroemia	116.30552757605554	68.01422064673334
57	0.0	Cenocarcharias	101.68094759806664	66.269415524
58	0.0	Centrophoroides	91.73946530487778	11.641312057033332
59	0.0	Centrophorus	79.78613649238888	0.0
60	0.0	Centroscymnus	137.37767762524444	0.0
61	0.0	Centroselachus	68.96330934474443	0.6922423253777779
62	0.0	Centrosqualus	88.0332596967111	73.84315620725555
63	0.0	Cephaloscyllium	34.29551074306667	0.0
64	0.0	Cetorhinus	53.40429172132223	0.0
65	0.0	Chaenogaleus	60.29300095498889	0.0
66	0.0	Chiloscyllium	128.84512201307777	0.0
67	0.0	Chlamydoselachus	98.74528263238888	0.0
68	0.0	Clerolamna	70.25225049178889	29.94727492242222
69	0.0	Coelometlaouia	59.48626881439999	36.67822730914445
70	0.0	Columbusia	87.39749627767777	72.54660250983332
71	0.0	Corax	99.01070661599998	71.37072492244444
72	0.0	Cosmopolitodus	41.345241472100014	9.933834974455555
73	0.0	Coupatezia	82.65731139569999	33.79026209973333
74	0.0	Crassescyliorhinus	97.80052606058888	32.990623912322235
75	0.0	Cretalamna	121.52262402195558	36.00099773480001
76	0.0	Cretaplatyrhinoidis	87.31716992284443	72.6913287217111
77	0.0	Cretascyliorhinus	118.63721252567778	76.4124918073889
78	0.0	Cretascymnus	86.63607434494445	69.87923398977779
79	0.0	Cretodus	122.51690018115556	72.28877973773334
80	0.0	Cretolamna	132.91320220521112	12.450801770466663
81	0.0	Cretomanta	105.50955223868893	66.0111614822111
82	0.0	Cretorectolobus	136.46500438792225	66.0001616454889
83	0.0	Cretoxyrhina	113.69207736223332	66.48504911202222
84	0.0	Cristomylus	104.10699747166667	71.29562531501111
85	0.0	Ctenopristis	92.58436116933332	61.71286408058888
86	0.0	Cyclobatis	102.47417931301112	93.26090675956668
87	0.0	Dalatias	66.05256323926668	0.0
88	0.0	Dallasiella	103.22879351553335	86.67142451104444
89	0.0	Dalpiazia	90.04040695874444	65.44643011002223
90	0.0	Danogaleus	69.63687704173333	60.74303203683334
91	0.0	Dasyatis	132.12918901657775	0.0
92	0.0	Dasyrhombodus	72.8247451704	65.66328005406666
93	0.0	Deania	82.75512223098889	0.0
94	0.0	Delpitia	65.2470173635	58.09327158033334
95	0.0	Delpitoscyllium	65.45512451198888	55.80466108632221
96	0.0	Dipturus	43.95413294728889	0.0
