	clade	species	ts	te	ts.1	te.1	ts.2	te.2	ts.3	te.3	ts.4	te.4	ts.5	te.5	ts.6	te.6	ts.7	te.7	ts.8	te.8	ts.9	te.9
0	0.0	Abdounia_africana	65.4304127974353	55.71692579877833	64.61197105712338	57.86317394140346	64.91355794281188	55.029425131455774	64.97650072971908	54.981952687700414	65.50325365802847	58.31302947379128	66.20271847382435	55.56534960184228	64.59412410412403	55.39282244052991	65.26355899180722	57.19631411879672	63.01863111756412	57.8064877037309	64.11101241816263	55.548035190212765
1	0.0	Abdounia_beaugei	64.43969756173118	26.891380490632187	64.69073863779606	23.348076009229576	65.60970679129181	31.377872393548746	64.95890517046269	29.895080671345838	65.34551468695403	34.40991014270559	65.16324042797446	32.742795174423655	64.70492865944415	27.82368406217889	65.99252249048283	31.365118072205554	64.28469086338414	34.847481655462104	65.44828077363573	29.56233498738591
2	0.0	Abdounia_biauriculata	65.47665722856924	1.8583974708854083	65.77796981275299	39.963421659901314	65.33186487893543	39.28162677503639	64.85906127682956	42.88118898042775	65.28578978639872	6.1891999537700935	64.0061728089133	39.5331905531728	65.02406462565756	5.190531359621507	64.90606559317663	39.62479406438386	68.39480504498475	10.005981427675838	64.73555627577308	22.10204740518225
3	0.0	Abdounia_enniskilleni	55.17528865465392	34.34219727575329	52.13496482369944	33.86461463188796	49.68492721700363	33.89131530403748	49.65930511345527	33.85975877325934	53.63052936763977	33.65498988129202	50.136999879206606	33.509781019364226	50.82166582242403	33.58686040151625	54.37848318678978	33.44965519924303	52.59214785580359	33.87755897271079	55.60908342549095	33.639017193776255
4	0.0	Abdounia_furimskyi	44.88362652790065	13.713894790356315	54.66443144353911	9.042780665835528	44.91456939110082	6.287117344256443	35.81487387954607	18.81721437878462	37.44495277079894	16.92617263386551	40.64434570607276	5.369465722597987	43.947520708303294	8.290298708373955	50.290795428506605	18.61730595010417	54.27157652549717	12.851257634516124	41.86934366760556	4.980874807866977
5	0.0	Abdounia_lapierrei	53.63593038541692	33.83718799438955	54.71706673629863	33.900901878722124	55.33552984084592	34.04946949691477	54.93004616180813	34.25083759751438	53.13678710779757	33.127772706283054	54.99553663352078	34.078170582586125	54.4608818331855	34.26416078370643	52.42044905477843	33.26653396005174	56.05047417143368	34.26798551158859	51.45331376038396	34.22598542988214
6	0.0	Abdounia_lata	39.407405477166215	34.384363159703305	37.94268398169245	34.3042299849092	37.32141834813448	33.94641175522575	37.75825362968353	34.53252375889515	37.85029281499224	32.99919346245498	38.58740632646901	32.96358064461362	39.6086855478149	32.948549209473164	35.16971759367631	33.7788037872687	50.518022095897685	33.95598962858414	38.41064020981377	34.63089765443058
7	0.0	Abdounia_minutissima	65.47228362793795	34.334124881999514	65.72244609931612	33.85986600305807	65.61906483235964	34.07945780912518	64.95708302723739	37.02018548219721	65.58464703432317	33.910674475368324	65.17484118823604	36.65805766598488	64.7557844810253	34.731528333399126	66.00660600475696	33.896064133038514	65.80282849239877	33.76628163372121	65.4364347550309	34.26374887446139
8	0.0	Abdounia_vassilyevae	38.98490995335464	34.14286809744967	37.86785827303018	34.27494469926705	38.45989577344099	33.78281199026755	38.24199387070954	31.96587514403192	38.01108551584024	33.199792254760176	37.97180735786908	32.93186805053707	39.7549598027213	33.68731476967447	35.39352741723848	33.711339093497486	39.24518832861002	33.92057038395105	39.56323511273997	34.060304548129494
9	0.0	Acanthoscyllium_sahelalmae	86.66861959064265	83.75034774268553	86.52941329444968	82.64208235977259	85.8789978573813	84.02035011886254	87.70811485617077	77.49027368235222	87.68953679580329	81.28286106098425	84.69542451311271	83.63560808970121	87.40833740724614	76.00669009984448	84.67962459431348	83.34433434316855	87.14824635762639	82.665465134661	86.14435992954326	84.35366182598948
10	0.0	Acrolamna_acuminata	96.91366078954952	50.88433090434875	96.1422331970894	56.41611577027093	102.00225027402192	54.1790328370099	99.29669481920726	36.04561011495888	97.65790401503604	52.22101379824914	94.70025937776067	45.572106409016406	95.06175309754713	56.30396876999112	98.11523557100752	53.56497741061822	98.22838097670127	48.71183260185768	101.18161513972348	51.01801801606419
11	0.0	Acrosqualiolus_mirus	46.0953024892308	39.63437711119602	47.18687264160125	38.05116391705967	54.03232030341376	35.903552082268966	47.78864697286431	43.65251487113588	48.23886343733419	39.61821632238547	52.3912571145684	37.69371706077229	54.98898442862164	35.42239597857812	52.59043217188955	37.619795954448485	49.11895729994233	45.64191500687488	52.79195542900897	37.53293632207918
12	0.0	Acutalamna_karsteni	99.2305825810571	91.18448882199036	99.63212725153824	93.65303979180608	100.67454469946152	93.2197476979525	114.92379511933083	92.82010575954877	99.8342493504902	93.16759959586486	101.68577958124403	95.32339442014975	109.52605967982628	94.1816959871491	112.93069000245588	93.55592829817172	100.44518522142374	92.48074506167104	117.08457243627208	92.83953924419744
13	0.0	Adnetoscyllium_angloparisensis	86.75469343945323	72.060184466556	86.44232606268338	75.57440613979126	86.45387673857826	71.56109148619113	85.15497140842244	70.29142784120522	87.2180831863117	79.67089661907387	86.92659792814182	72.96508181392605	86.22136876459695	72.37183627541316	86.94938675455025	72.21283603978378	87.42376394541202	72.22548653781215	87.61977749350028	72.34164304098225
14	0.0	Aetobatus_arcuatus	31.317779426360257	3.572355532265981	29.32124319804764	4.979325238075698	30.677258385803334	3.647164700772736	29.321615719222876	3.965181169074889	33.923718650905	4.767149103482691	34.17817534917613	4.175619278470871	32.55757217983806	4.252050831144124	31.85929049706096	4.306476192455841	29.913405989319507	4.143255783469851	29.658985832169744	5.018813858330495
