	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
161	Brachaelurus waddi			LC												LC								
162	Breviraja claramaculata									DD														
163	Breviraja colesi									DD														
164	Breviraja mouldi									DD														
165	Breviraja nigriventralis									DD														
166	Breviraja spinosa									DD														
167	Brevitrygon imbricata									DD							DD							
168	Brevitrygon walga																	NT						
169	Brochiraja aenigma									DD									DD					
170	Brochiraja albilabiata									DD									DD					
171	Brochiraja asperula									DD									DD					
172	Brochiraja heuresa																		DD					
173	Brochiraja leviveneta									DD									DD					
174	Brochiraja microspinifera									DD									DD					
175	Brochiraja spinifera									DD									DD					
176	Brochiraja vittacauda																		DD					
177	Bythaelurus alcockii				DD													DD						
178	Bythaelurus bachi																			DD				
179	Bythaelurus canescens						DD																	
180	Bythaelurus clevai				DD															DD				
181	Bythaelurus dawsoni			DD															LC					
182	Bythaelurus hispidus				DD															NT				
183	Bythaelurus immaculatus				DD																			
184	Bythaelurus incanus			DD												DD								
185	Bythaelurus lutarius																			DD				
186	Bythaelurus naylori																			DD				
187	Bythaelurus tenuicephalus																			LC				
188	Callorhinchus callorynchus							LC																
189	Callorhinchus capensis						LC																	
190	Callorhinchus milii			LC												LC								
191	Carcharhinus acronotus									NT														
192	Carcharhinus albimarginatus									NT							VU							
193	Carcharhinus altimus									DD														
194	Carcharhinus amblyrhynchoides									NT														
195	Carcharhinus amblyrhynchos									NT														
196	Carcharhinus amboinensis									NT														
197	Carcharhinus borneensis									EN														
198	Carcharhinus brachyurus			VU																				
199	Carcharhinus brevipinna									NT														
200	Carcharhinus cautus			DD																				
201	Carcharhinus coatesi																			LC				
202	Carcharhinus dussumieri																			EN				
203	Carcharhinus falciformis									NT							NT	VU						
204	Carcharhinus fitzroyensis			LC																LC				
205	Carcharhinus galapagensis			NT																LC				
206	Carcharhinus humani																			DD				
207	Carcharhinus isodon									LC														
208	Carcharhinus leiodon									VU								EN						
209	Carcharhinus leucas									NT														
210	Carcharhinus limbatus									NT														
211	Carcharhinus longimanus						VU									VU				CR				
212	Carcharhinus macloti			NT																				
213	Carcharhinus melanopterus									NT														
214	Carcharhinus obscurus									VU										EN				
215	Carcharhinus perezi						NT																	
216	Carcharhinus plumbeus									VU														
217	Carcharhinus porosus						DD																	
218	Carcharhinus sealei			NT																				
219	Carcharhinus signatus						DD																	
220	Carcharhinus sorrah									NT														
221	Carcharhinus tilstoni			LC																LC				
222	Carcharhinus tjutjot																			VU				
223	Carcharias taurus			NT				CR		VU														
224	Carcharodon carcharias									VU										VU				
225	Centrophorus atromarginatus									DD														
226	Centrophorus granulosus						DD																	
227	Centrophorus harrissoni			CR										EN										
228	Centrophorus isodon				DD																			
229	Centrophorus lusitanicus									VU														
230	Centrophorus moluccensis			DD										LC										
231	Centrophorus seychellorum									DD										LC				
232	Centrophorus squamosus			VU																				
233	Centrophorus tessellatus						DD																	
234	Centrophorus uyato			DD																				
235	Centrophorus westraliensis											LC				DD								
236	Centroscyllium excelsum									DD														
237	Centroscyllium fabricii									LC														
238	Centroscyllium granulatum				DD																			
239	Centroscyllium kamoharai			DD															LC					
240	Centroscyllium nigrum				DD																			
241	Centroscyllium ornatum									DD														
242	Centroscyllium ritteri									DD														
243	Centroscymnus coelolepis			NT																				
244	Centroscymnus macracanthus																		DD					
245	Centroscymnus owstonii			LC															VU					
246	Centroselachus crepidater			LC																				
247	Cephaloscyllium albipinnum			NT								NT								CR				
248	Cephaloscyllium cooki											DD				DD								
249	Cephaloscyllium fasciatum											DD												
250	Cephaloscyllium hiscosellum											LC				LC								
251	Cephaloscyllium isabellum			LC															LC					
252	Cephaloscyllium laticeps			LC													LC							
253	Cephaloscyllium maculatum											DD												
254	Cephaloscyllium pardelotum											DD												
255	Cephaloscyllium sarawakensis									DD														
256	Cephaloscyllium signourum											DD					DD							
257	Cephaloscyllium silasi									DD														
258	Cephaloscyllium speccum			DD								DD					DD							
259	Cephaloscyllium sufflans				LC																			
260	Cephaloscyllium umbratile									DD														
261	Cephaloscyllium variegatum			DD								NT								NT				
262	Cephaloscyllium ventriosum						LC									LC								
263	Cephaloscyllium zebrum			DD								DD					DD							
264	Cephalurus cephalus									DD														
265	Cetorhinus maximus									VU										EN				
266	Chaenogaleus macrostoma									VU														
267	Chiloscyllium arabicum									NT								NT						
268	Chiloscyllium burmensis									DD														
269	Chiloscyllium griseum			NT																				
270	Chiloscyllium hasselti									NT														
271	Chiloscyllium indicum			NT																				
272	Chiloscyllium plagiosum						NT																	
273	Chiloscyllium punctatum			NT													NT							
274	Chimaera argiloba											LC				LC								
275	Chimaera bahamaensis											DD												
276	Chimaera carophila																		LC					
277	Chimaera cubana						DD																	
278	Chimaera fulva											LC				LC								
279	Chimaera jordani						DD																	
280	Chimaera lignaria						DD									LC								
281	Chimaera macrospina											LC				LC								
282	Chimaera monstrosa							NT																
283	Chimaera notafricana											LC												
284	Chimaera obscura											LC				DD								
285	Chimaera owstoni						DD																	
286	Chimaera panthera			DD															DD					
287	Chimaera phantasma						DD																	
288	Chlamydoselachus africana				DD															LC				
289	Chlamydoselachus anguineus			NT													LC							
290	Cirrhigaleus asper						DD																	
291	Cirrhigaleus australis									DD							DD							
292	Cirrhigaleus barbifer			NT						DD														
293	Cirrhoscyllium expolitum									DD														
294	Cirrhoscyllium formosanum									DD														
295	Cirrhoscyllium japonicum									DD														
296	Crassinarke dormitor									DD														
297	Cruriraja andamanica									DD										DD				
298	Cruriraja atlantis									DD														
