	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
716	Notoraja sticta											LC				LC								
717	Notoraja tobitukai									DD														
718	Notorynchus cepedianus									DD														
719	Odontaspis ferox			DD						VU							VU							
720	Odontaspis noronhai									DD										LC				
721	Okamejei acutispina									DD														
722	Okamejei arafurensis											LC				LC								
723	Okamejei boesemani									DD														
724	Okamejei heemstrai									DD										LC				
725	Okamejei hollandi									DD														
726	Okamejei kenojei									DD														
727	Okamejei leptoura												LC			LC								
728	Okamejei meerdervoortii									DD														
729	Okamejei mengae									DD														
730	Okamejei ornata																	LC						
731	Okamejei philipi									DD														
732	Okamejei schmidti									DD														
733	Orbiraja powelli									DD								DD						
734	Orectolobus floridus									DD						LC								
735	Orectolobus halei									NT						LC								
736	Orectolobus hutchinsi			LC						DD						LC								
737	Orectolobus japonicus									DD														
738	Orectolobus maculatus			NT						NT						LC								
739	Orectolobus ornatus			NT						NT						LC								
740	Orectolobus parvimaculatus									DD						LC								
741	Orectolobus reticulatus											DD				DD								
742	Orectolobus wardi			LC												LC								
743	Oxynotus bruniensis			DD															NT					
744	Oxynotus caribbaeus				DD																			
745	Oxynotus centrina							VU																
746	Oxynotus japonicus				DD																			
747	Oxynotus paradoxus									DD														
748	Paragaleus leucolomatus									DD														
749	Paragaleus pectoralis									DD														
750	Paragaleus randalli									NT														
751	Paragaleus tengi									DD														
752	Parascyllium collare			LC													LC							
753	Parascyllium elongatum											DD				DD								
754	Parascyllium ferrugineum			LC													LC							
755	Parascyllium sparsimaculatum			DD												DD								
756	Parascyllium variolatum			LC													LC							
757	Paratrygon aiereba									DD									DD					
758	Parmaturus albimarginatus									DD									LC					
759	Parmaturus albipenis									DD									LC					
760	Parmaturus bigus			DD						DD							DD							
761	Parmaturus campechiensis						DD																	
762	Parmaturus lanatus									DD														
763	Parmaturus macmillani			DD															DD					
764	Parmaturus melanobranchus									DD														
765	Parmaturus pilosus									DD														
766	Parmaturus xaniurus						DD									LC								
767	Pastinachus ater																LC							
768	Pastinachus sephen																	NT						
769	Pastinachus solocirostris									EN														
770	Pateobatis fai									LC							VU							
771	Pateobatis hortlei									VU							VU							
772	Pateobatis jenkinsii									LC							VU							
773	Pateobatis uarnacoides									VU							VU							
774	Pavoraja alleni									LC						LC								
775	Pavoraja arenaria											DD				DD								
776	Pavoraja mosaica											LC				LC								
777	Pavoraja nitida									NT						LC								
778	Pavoraja pseudonitida											LC				LC								
779	Pavoraja umbrosa															LC								
780	Pentanchus profundicolus									DD														
781	Planonasus parini																	LC						
782	Platyrhina sinensis									VU														
783	Platyrhinoidis triseriata						LC										LC							
784	Plesiobatis daviesi						LC									LC								
785	Plesiotrygon iwamae									DD														
786	Pliotrema warreni				NT																			
787	Poroderma africanum									NT														
788	Poroderma pantherinum									DD														
789	Potamotrygon brachyura									DD														
790	Potamotrygon castexi									DD														
791	Potamotrygon constellata									DD														
792	Potamotrygon falkneri									DD														
793	Potamotrygon henlei				LC																			
794	Potamotrygon histrix									DD														
795	Potamotrygon leopoldi									DD														
796	Potamotrygon magdalenae									NT							LC							
797	Potamotrygon marinae									DD														
798	Potamotrygon motoro									DD														
799	Potamotrygon ocellata									DD														
800	Potamotrygon orbignyi									LC														
801	Potamotrygon schroederi									DD														
802	Potamotrygon schuemacheri				DD																			
803	Potamotrygon scobina				DD																			
804	Potamotrygon signata									DD														
805	Potamotrygon tigrina																EN							
806	Potamotrygon yepezi									DD														
807	Prionace glauca									NT										NT				
808	Pristiophorus cirratus			LC													LC							
809	Pristiophorus delicatus			LC												LC								
810	Pristiophorus japonicus									DD														
811	Pristiophorus nancyae																			LC				
812	Pristiophorus nudipinnis			LC													LC							
813	Pristiophorus schroederi						DD																	
814	Pristis clavata						CR							EN										
815	Pristis pectinata						CR							CR										
816	Pristis pristis													CR										
817	Pristis zijsron						CR							CR										
818	Proscyllium habereri									DD														
819	Proscymnodon macracanthus				DD																			
820	Psammobatis bergi				LC																			
821	Psammobatis extenta				LC																			
822	Psammobatis lentiginosa							DD																
823	Psammobatis normani				DD																			
824	Psammobatis parvacauda							DD																
825	Psammobatis rudis				DD																			
826	Psammobatis rutrum							DD																
827	Psammobatis scobina							DD																
828	Pseudobatos glaucostigmus									DD							DD							
829	Pseudobatos horkelii							CR									CR							
830	Pseudobatos lentiginosus									NT							NT							
831	Pseudobatos leucorhynchus						NT										NT							
832	Pseudobatos percellens									NT							NT							
833	Pseudobatos planiceps				DD												DD							
834	Pseudobatos prahli							DD									DD							
835	Pseudobatos productus						NT										NT							
836	Pseudocarcharias kamoharai									NT										LC				
837	Pseudoginglymostoma brevicaudatum				VU															CR				
838	Pseudoraja fischeri									DD														
839	Pseudotriakis microdon				DD											LC								
840	Pteroplatytrygon violacea									LC										LC				
841	Raja asterias							LC								NT								
842	Raja brachyura									NT														
843	Raja clavata					NT											NT							
844	Raja herwigi									DD														
845	Raja inornata									DD							LC							
846	Raja maderensis									DD						VU								
847	Raja microocellata									NT														
848	Raja miraletus																			LC				
849	Raja montagui							LC																
850	Raja pita									CR							DD	DD						
851	Raja polystigma									NT						LC								
852	Raja radula									DD						EN	EN							
853	Raja stellulata									LC							LC							
854	Raja straeleni									DD														
855	Raja undulata									EN														
856	Rajella annandalei									DD														
857	Rajella barnardi				LC																			
858	Rajella bathyphila									LC														
859	Rajella bigelowi									LC														
860	Rajella caudaspinosa				NT															LC				
861	Rajella challengeri															LC								
862	Rajella dissimilis				LC																			
863	Rajella eisenhardti							DD																
864	Rajella fuliginea									LC														
865	Rajella fyllae									LC														
866	Rajella kukujevi									DD						LC								
867	Rajella leoparda				LC														LC					
868	Rajella lintea									LC														
869	Rajella nigerrima				LC																			
870	Rajella paucispinosa																			LC				
871	Rajella purpuriventralis									LC														
872	Rajella ravidula				LC															LC				
873	Rajella sadowskii				DD																			
874	Rhina ancylostoma			VU													VU			CR				
875	Rhincodon typus					VU											EN							
876	Rhinobatos albomaculatus									VU														
877	Rhinobatos annandalei									DD														
878	Rhinobatos austini																			DD				
879	Rhinobatos holcorhynchus									DD										DD				
880	Rhinobatos hynnicephalus						NT																	
881	Rhinobatos irvinei									VU														
882	Rhinobatos jimbaranensis						VU																	
883	Rhinobatos lionotus									DD														
884	Rhinobatos nudidorsalis						NT													DD				
885	Rhinobatos penggali						VU																	
886	Rhinobatos punctifer									DD								NT						
887	Rhinobatos rhinobatos							EN																
888	Rhinobatos sainsburyi			LC												LC								
889	Rhinobatos schlegelii									DD														
890	Rhinochimaera africana						DD										DD							
891	Rhinochimaera atlantica						LC																	
892	Rhinochimaera pacifica						LC									LC								
893	Rhinoptera bonasus						NT																	
894	Rhinoptera brasiliensis				EN																			
895	Rhinoptera javanica						VU																	
896	Rhinoptera marginata									NT														
897	Rhinoptera neglecta									DD						DD								
898	Rhinoptera steindachneri						NT																	
899	Rhinoraja kujiensis									LC														
900	Rhinoraja longicauda									LC														
901	Rhinoraja odai									LC														
902	Rhizoprionodon acutus			LC																				
903	Rhizoprionodon lalandii				DD																			
904	Rhizoprionodon longurio									DD														
905	Rhizoprionodon oligolinx			LC																				
906	Rhizoprionodon porosus						LC																	
907	Rhizoprionodon taylori			LC																LC				
908	Rhizoprionodon terraenovae									LC														
909	Rhynchobatus australiae			VU																CR				
910	Rhynchobatus cooki						VU													CR				
911	Rhynchobatus djiddensis						VU													CR				
912	Rhynchobatus immaculatus																			CR				
913	Rhynchobatus laevis			VU													VU			CR				
914	Rhynchobatus luebberti						EN													CR				
915	Rhynchobatus palpebratus																			NT				
916	Rhynchobatus springeri						VU													CR				
917	Rhynchorhina mauritaniensis																			CR				
918	Rioraja agassizii							VU																
919	Rostroraja ackleyi									DD														
920	Rostroraja alba						EN																	
921	Rostroraja bahamensis									DD														
922	Rostroraja cervigoni							NT																
923	Rostroraja eglanteria									LC														
924	Rostroraja equatorialis									DD														
925	Rostroraja texana									DD														
926	Rostroraja velezi									DD														
927	Schroederichthys bivius									DD														
928	Schroederichthys chilensis				DD																			
929	Schroederichthys maculatus									LC														
930	Schroederichthys saurisqualus				VU																			
931	Schroederichthys tenuis				DD																			
932	Schroederobatis americana									DD														
933	Scoliodon laticaudus									NT														
934	Scyliorhinus besnardi				DD																			
935	Scyliorhinus boa									LC														
936	Scyliorhinus canicula									LC														
937	Scyliorhinus capensis				NT																			
938	Scyliorhinus cervigoni						DD																	
939	Scyliorhinus comoroensis									DD										DD				
940	Scyliorhinus garmani									DD														
941	Scyliorhinus haeckelii				DD																			
942	Scyliorhinus hesperius				DD																			
943	Scyliorhinus meadi						DD																	
944	Scyliorhinus retifer						LC																	
945	Scyliorhinus stellaris									NT														
946	Scyliorhinus tokubee									DD														
947	Scyliorhinus torazame									LC														
948	Scyliorhinus torrei									LC														
949	Scylliogaleus quecketti									VU										VU				
950	Scymnodalatias albicauda			DD															DD					
951	Scymnodalatias garricki									DD						DD								
952	Scymnodalatias oligodon				DD																			
953	Scymnodalatias sherwoodi			DD															DD					
954	Scymnodon plunketi			NT															VU					
955	Scymnodon ringens									DD														
956	Sinobatis borneensis									LC														
957	Sinobatis bulbicauda												DD			LC								
958	Sinobatis caerulea												DD			DD								
959	Sinobatis filicauda											DD				DD								
960	Sinobatis melanosoma									LC														
961	Somniosus antarcticus			DD															LC					
962	Somniosus longus									DD									DD					
963	Somniosus microcephalus						NT																	
964	Somniosus pacificus									DD														
965	Somniosus rostratus									DD														
966	Sphyrna corona				NT																			
967	Sphyrna lewini									EN										CR				
968	Sphyrna media						DD																	
969	Sphyrna mokarran							EN												CR				
970	Sphyrna tiburo					LC											LC							
971	Sphyrna tudes						VU																	
972	Sphyrna zygaena									VU										VU				
973	Spiniraja whitleyi									VU														
974	Springeria folirostris									DD														
975	Springeria longirostris									DD														
976	Squaliolus aliae			LC												LC								
977	Squaliolus laticaudus						LC																	
978	Squalus acanthias			VU			LC										VU							
979	Squalus acutirostris												DD											
980	Squalus albifrons			DD																LC				
981	Squalus altipinnis									DD										DD				
982	Squalus blainville									DD														
983	Squalus brevirostris									DD														
984	Squalus bucephalus									DD									DD					
985	Squalus chloroculus									NT										EN				
986	Squalus crassispinus			DD																LC				
987	Squalus cubensis						DD																	
988	Squalus edmundsi									NT										NT				
989	Squalus grahami			NT																NT				
990	Squalus griffini											LC							LC					
991	Squalus hemipinnis									NT														
992	Squalus japonicus									DD														
993	Squalus lalannei									DD										LC				
994	Squalus megalops			DD																				
995	Squalus melanurus			LC															DD					
996	Squalus mitsukurii			DD						DD														
997	Squalus montalbani									VU										VU				
998	Squalus nasutus			DD																NT				
999	Squalus notocaudatus			DD																LC				
1000	Squalus rancureli			NT															NT					
1001	Squalus raoulensis									DD		LC							LC					
1002	Squalus suckleyi																LC							
1003	Squatina aculeata						EN	CR												CR				
1004	Squatina africana				DD															NT				
1005	Squatina albipunctata			VU													VU							
1006	Squatina argentina						EN													CR				
1007	Squatina armata				DD																			
1008	Squatina australis			LC													LC							
1009	Squatina caillieti																			DD				
1010	Squatina californica					NT											NT							
1011	Squatina david																			NT				
1012	Squatina dumeril																			LC				
1013	Squatina formosa									EN														
1014	Squatina guggenheim																			EN				
1015	Squatina japonica									VU														
1016	Squatina legnota									DD														
1017	Squatina nebulosa									VU														
1018	Squatina occulta							EN												CR				
1019	Squatina oculata						EN	CR												CR				
1020	Squatina pseudocellata			DD													LC							
1021	Squatina squatina						CR									CR				CR				
1022	Squatina tergocellata			LC													LC							
1023	Squatina tergocellatoides									VU														
1024	Squatina varii																			LC				
1025	Stegostoma tigrinum			VU													EN			EN				
1026	Styracura schmardae						DD																	
1027	Sutorectus tentaculatus			LC												LC								
1028	Sympterygia acuta				VU																			
1029	Sympterygia bonapartii				DD																			
1030	Sympterygia brevicaudata				DD																			
1031	Sympterygia lima				DD																			
1032	Taeniura lessoni																		DD					
1033	Taeniura lymma									NT														
1034	Taeniurops grabata									DD														
1035	Taeniurops meyeni						VU									VU								
1036	Telatrygon acutirostra						NT										NT							
1037	Telatrygon zugei						NT										NT							
1038	Temera hardwickii									VU														
1039	Tetronarce californica					LC										LC								
1040	Tetronarce cowleyi																			LC				
1041	Tetronarce formosa									DD														
1042	Tetronarce nobiliana									DD														
1043	Tetronarce puelcha						DD																	
1044	Tetronarce tokionis									DD							DD							
1045	Tetronarce tremens						DD																	
1046	Torpedo adenensis						NT											EN						
1047	Torpedo andersoni						DD																	
1048	Torpedo bauchotae									DD														
1049	Torpedo fuscomaculata				DD															DD				
1050	Torpedo mackayana									DD														
1051	Torpedo marmorata									DD														
1052	Torpedo microdiscus						DD																	
1053	Torpedo panthera						DD																	
1054	Torpedo sinuspersici						DD													DD				
1055	Torpedo torpedo									DD														
1056	Triaenodon obesus									NT														
1057	Triakis acutipinna									EN														
1058	Triakis maculata							VU																
1059	Triakis megalopterus									NT														
1060	Triakis scyllium									LC														
1061	Triakis semifasciata									LC						LC								
1062	Trigonognathus kabeyai				DD																			
1063	Trygonoptera galba									DD										LC				
1064	Trygonoptera imitata						NT													LC				
1065	Trygonoptera mucosa						LC													LC				
1066	Trygonoptera ovalis						LC													LC				
1067	Trygonoptera personata						LC													LC				
1068	Trygonoptera testacea						LC													NT				
1069	Trygonorrhina dumerilii			LC												LC								
1070	Trygonorrhina fasciata															LC								
1071	Typhlonarke aysoni																		LC					
1072	Urobatis concentricus						DD																	
1073	Urobatis halleri						LC									LC								
1074	Urobatis jamaicensis						LC																	
1075	Urobatis maculatus						DD																	
1076	Urobatis marmoratus				DD																			
1077	Urobatis tumbesensis							DD																
1078	Urogymnus asperrimus					VU											VU							
1079	Urogymnus dalyensis											DD				LC	LC							
1080	Urogymnus granulatus									NT							VU							
1081	Urogymnus lobistomus									VU							VU							
1082	Urogymnus polylepis											EN					EN							
1083	Urolophus armatus						DD																	
1084	Urolophus aurantiacus						NT																	
1085	Urolophus bucculentus						VU													VU				
1086	Urolophus circularis						LC													LC				
1087	Urolophus cruciatus						LC													LC				
1088	Urolophus deforgesi						LC												LC					
1089	Urolophus expansus						LC													LC				
1090	Urolophus flavomosaicus						LC													LC				
1091	Urolophus gigas						LC													LC				
1092	Urolophus kaianus						DD																	
1093	Urolophus kapalensis			NT																NT				
1094	Urolophus lobatus						LC													LC				
1095	Urolophus mitosis						LC													LC				
1096	Urolophus neocaledoniensis						LC												LC					
1097	Urolophus orarius						EN													EN				
1098	Urolophus papilio						LC												LC					
1099	Urolophus paucimaculatus						LC													LC				
1100	Urolophus piperatus						LC													LC				
1101	Urolophus sufflavus						VU													VU				
1102	Urolophus viridis						VU													VU				
1103	Urolophus westraliensis						LC													LC				
1104	Urotrygon aspidura									DD														
1105	Urotrygon chilensis				DD																			
1106	Urotrygon microphthalmum				LC																			
1107	Urotrygon munda									DD														
1108	Urotrygon nana									DD														
1109	Urotrygon reticulata									VU														
1110	Urotrygon rogersi									DD														
1111	Urotrygon simulatrix									VU														
1112	Urotrygon venezuelae							NT																
1113	Zameus ichiharai									DD														
1114	Zameus squamulosus						DD																	
1115	Zanobatus schoenleinii									DD														
1116	Zapteryx brevirostris						VU																	
1117	Zapteryx exasperata						DD									DD								
1118	Zapteryx xyster						DD			DD														
1119	Zearaja chilensis							VU																
1120	Zearaja maugeana					EN											EN							
1121	Zearaja nasutus			LC															LC					
