species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Hemitriakis japanica		LC																		
Centroscyllium ritteri		DD																		
Parmaturus albimarginatus		DD						LC												
Rajella fuliginea		LC																		
Taeniurops grabata		DD																		
Dipturus oregoni		DD																		
Poroderma pantherinum		DD																		
Gymnura tentaculata		DD																		
Etmopterus lucifer		LC						LC												
Mustelus norrisi		DD																		
Zanobatus schoenleinii		DD																		
Fontitrygon margaritella		DD										DD								
Centroscyllium fabricii		LC																		
Neoraja carolinensis		DD																		
Narcine lingula		DD																		
Carcharhinus isodon		LC																		
Squatina tergocellatoides		VU																		
Carcharhinus albimarginatus		NT										VU								
Breviraja colesi		DD																		
Rostroraja bahamensis		DD																		
Bathyraja maccaini		NT																		
Rhinoptera neglecta	DD	DD																		
Holohalaelurus grennian		DD			DD															
Okamejei hollandi		DD																		
Hemitrygon bennetti		DD										DD								
Rhinoraja kujiensis		LC																		
Dipturus gudgeri		NT										NT								
Squalus blainville		DD																		
Okamejei mengae		DD																		
Hemigaleus australiensis		LC										LC								
Maculabatis pastinacoides		VU										VU								
Urotrygon reticulata		VU																		
Amblyraja radiata		VU																		
Paragaleus tengi		DD																		
Schroederichthys maculatus		LC																		
Narcine prodorsalis		DD																		
Urogymnus lobistomus		VU										VU								
Pateobatis uarnacoides		VU										VU								
Orbiraja powelli		DD															DD			
Deania hystricosa		DD																		
Brochiraja albilabiata		DD						DD												
Deania profundorum		LC																		
Somniosus longus		DD						DD												
Insentiraja subtilispinosa	LC	LC																		
Narcine insolita		DD			DD															
Acroteriobatus leucospilus		DD			EN							DD								
Dactylobatus armatus		DD																		
Chiloscyllium hasselti		NT																		
Squatina japonica		VU																		
Notoraja ochroderma	DD	DD																		
Narcine maculata		DD																		
Bathyraja smithii		DD			LC															
Torpedo bauchotae		DD																		
Orectolobus japonicus		DD																		
Carcharhinus altimus		DD																		
Dipturus garricki		DD																		
Maculabatis gerrardi		VU										VU								
Galeus nipponensis		DD																		
Myliobatis freminvillii		DD																		
Myliobatis aquila		DD																		
Lamiopsis temminckii		EN																		
Mustelus widodoi		DD																		
Potamotrygon castexi		DD																		
Potamotrygon yepezi		DD																		
Holohalaelurus regani		LC																		
Rhinoraja longicauda		LC																		
Hemitrygon sinensis		DD										DD								
Arhynchobatis asperrimus		DD						DD												
Centroscyllium ornatum		DD																		
Tetronarce nobiliana		DD																		
Parmaturus pilosus		DD																		
Megatrygon microps	DD	DD										DD								
Scymnodalatias garricki	DD	DD																		
Fenestraja atripinna		DD																		
Etmopterus decacuspidatus		DD																		
Raja straeleni		DD																		
Rajella fyllae		LC																		
Paratrygon aiereba		DD						DD												
Platyrhina sinensis		VU																		
Cephaloscyllium silasi		DD																		
Fenestraja mamillidens		DD																		
Heteronarce prabhui		DD																		
Bathyraja violacea		DD																		
Beringraja rhina		LC																		
Aptychotrema rostrata	LC	LC																		
Alopias pelagicus		VU			EN															
Pateobatis hortlei		VU										VU								
Bathyraja taranetzi	LC	LC																		
Dipturus doutrei		DD																		
Brochiraja asperula		DD						DD												
Anacanthobatis nanhaiensis		DD																		
Leucoraja yucatanensis		DD																		
Notoraja tobitukai		DD																		
Cirrhoscyllium japonicum		DD																		
Narke dipterygia		DD																		
Tetronarce formosa		DD																		
Potamotrygon orbignyi		LC																		
Dipturus teevani		DD																		
Glyphis siamensis		CR																		
Bathyraja smirnovi		LC																		
Torpedo suessii		DD															CR			
Narke capensis		DD			LC															
Pateobatis fai		LC										VU								
Chiloscyllium burmensis		DD																		
Dipturus johannisdavisi		DD			DD															
Hemitrygon laevigata		NT										NT								
Bathyraja meridionalis		DD																		
Hypanus rudis		DD										DD								
Himantura undulata		VU																	VU	
Rajella kukujevi	LC	DD																		
Bathyraja fedorovi		LC																		
Benthobatis yangi		VU																		
Halaelurus quagga		DD															DD			
Leucoraja naevus	LC	LC																		
Narcine tasmaniensis	LC	LC																		
Raja stellulata		LC										LC								
Gymnura japonica		DD																		
Leucoraja ocellata		EN																		
Heteronarce bentuviai		DD															DD			
Mustelus manazo		DD																		
Pristiophorus japonicus		DD																		
Deania quadrispinosa		NT																		
Okamejei acutispina		DD																		
Dipturus australis		VU																		
Squatina legnota		DD																		
Paragaleus leucolomatus		DD																		
Mustelus lunulatus		LC										LC								
Bathyraja hesperafricana		DD																		
Fenestraja plutonia		DD																		
Dasyatis chrysonota		LC																		
Halaelurus maculosus		LC																		
Okamejei kenojei		DD																		
Narcine rierai		DD			DD															
Notoraja hirticauda	DD	DD																		
Mustelus henlei		LC										LC								
Etmopterus brachyurus	DD	DD																		
Haploblepharus pictus		LC			LC															
Orectolobus parvimaculatus	LC	DD																		
Holohalaelurus favus		EN																		
Dipturus springeri		DD			LC															
Irolita waitii	LC	LC																		
Fenestraja sinusmexicanus		DD																		
Potamotrygon histrix		DD																		
Rostroraja eglanteria		LC																		
Bathyraja irrasa		NT																		
Narcine atzi		DD																		
Bathyraja aleutica	LC	LC																		
Rhizoprionodon longurio		DD																		
Heteronarce mollis		DD															DD			
Orectolobus floridus	LC	DD																		
Narke japonica		VU																		
Neoraja caerulea	LC	DD																		
Haploblepharus kistnasamyi		CR			VU															
Squalus lalannei		DD			LC															
Beringraja pulchra		VU																		
Anacanthobatis stenosoma		DD																		
Apristurus sibogae		DD																		
Raja polystigma	LC	NT																		
Hexatrygon bickelli	LC	LC																		
Holohalaelurus punctatus		EN																		
Tetronarce tokionis		DD										DD								
Rhinobatos lionotus		DD																		
Cruriraja parcomaculata		DD			LC			DD												
Cirrhoscyllium formosanum		DD																		
Halaelurus buergeri		DD																		
Springeria folirostris		DD																		
Cruriraja rugosa		DD																		
Bathyraja microtrachys	LC	LC																		
Leucoraja leucosticta		DD																		
Rostroraja texana		DD																		
Potamotrygon brachyura		DD																		
Brochiraja aenigma		DD						DD												
Urotrygon aspidura		DD																		
Narcine oculifera		DD															DD		DD	
Raja brachyura		NT																		
Himantura uarnak		VU										VU								
Fenestraja cubensis		DD																		
Rostroraja equatorialis		DD																		
Chaenogaleus macrostoma		VU																		
Alopias superciliosus		VU			VU															
Acroteriobatus ocellatus		DD			DD							DD								
Makararaja chindwinensis		DD																		DD
Plesiotrygon iwamae		DD																		
Narcine lasti	LC	LC																		
Bathyraja trachouros		LC																		
Rajella purpuriventralis		LC																		
Squalus bucephalus		DD						DD												
Leucoraja compagnoi		DD			DD															
Galeus murinus	LC	LC																		
Bathyraja kincaidii		DD																		
Paragaleus pectoralis		DD																		
Breviraja spinosa		DD																		
Orectolobus halei	LC	NT																		
Cruriraja andamanica		DD			DD															
Cruriraja poeyi		DD																		
Cruriraja atlantis		DD																		
Rhinobatos schlegelii		DD																		
Heterodontus japonicus		LC																		
Mustelus griseus		DD																		
Narcine entemedor		DD																		
Scymnodon ringens		DD																		
Dipturus olseni		DD																		
Fluvitrygon kittipongi		EN										EN								
Heterodontus omanensis		DD															DD			
Rajella annandalei		DD																		
Bathyraja bergi		LC																		
Raja pita		CR										DD					DD			
Cephaloscyllium umbratile		DD																		
Okamejei schmidti		DD																		
Parmaturus albipenis		DD						LC												
Brevitrygon imbricata		DD										DD								
Dipturus nidarosiensis	NT	NT																		
Urotrygon munda		DD																		
Pteroplatytrygon violacea		LC			LC															
Galeus antillensis		DD																		
Proscyllium habereri		DD																		
Okamejei boesemani		DD																		
Atelomycterus baliensis		VU																		
Dipturus macrocauda		DD																		
Bathyraja eatonii		DD																		
Centroscyllium excelsum		DD																		
Hemitrygon navarrae		DD										DD								
Rhinoraja odai		LC																		
Pseudobatos lentiginosus		NT										NT								
Pateobatis jenkinsii		LC										VU								
Temera hardwickii		VU																		
Heteronarce garmani		VU																		
Urotrygon nana		DD																		
Dasyatis marmorata		DD																		
Isurus oxyrinchus		NT	LR/nt		EN															
Isurus oxyrinchus		NT	LR/nt		EN															
Isurus oxyrinchus		NT	LR/nt		EN															
Potamotrygon constellata		DD																		
Potamotrygon ocellata		DD																		
Cephaloscyllium cooki	DD																	DD		
Cephaloscyllium signourum												DD						DD		
Urogymnus dalyensis	LC											LC						DD		
Urogymnus polylepis			CR									EN						EN		
Asymbolus galacticus								LC										LC		
Cephaloscyllium hiscosellum	LC																	LC		
Cephaloscyllium maculatum																		DD		
Cephaloscyllium pardelotum																		DD		
Galeus priapus								LC										LC		
Mustelus walkeri												DD						DD		
Chimaera argiloba	LC																	LC		
Chimaera bahamaensis																		DD		
Chimaera fulva	LC																	LC		
Chimaera macrospina	LC																	LC		
Chimaera notafricana																		LC		
Chimaera obscura	DD																	LC		
Hydrolagus homonycteris	LC																	DD		
Hydrolagus marmoratus	LC																	DD		
Hydrolagus melanophasma																		LC		
Hemiscyllium galei																			DD	
Hemiscyllium henryi																			DD	
Hemiscyllium michaeli																			NT	
Orectolobus reticulatus	DD																	DD		
Parascyllium elongatum	DD																	DD		
Hemitrygon parvonigra	DD											DD						DD		
Dentiraja flindersi	DD																	DD		
Dipturus acrobelus	LC																	LC		
Dipturus apricus	LC																	LC		
Dipturus endeavouri																		NT		
Dipturus falloargus	DD																	DD		
Dipturus grahami	LC																		LC	
Dipturus healdi	LC																	DD		
Dipturus melanospilus	DD																	DD		
Dipturus oculus	LC																	LC		
Dipturus queenslandicus	DD																	DD		
Dipturus wengi	LC																	LC		
Dipturus wuhanlingi																		DD		
Maculabatis astra	LC											LC						LC		
Himantura leoparda												VU							VU	
Irolita westraliensis	DD																	LC		
Leucoraja pristispina	LC																	LC		
Mobula alfredi					VU													VU		
Narcine nelsoni	LC																	LC		
Narcine ornata	LC																	LC		
Neotrygon ningalooensis	DD																	DD		
Neotrygon picta	LC																	LC		
Notoraja azurea	LC																	LC		
Notoraja lira								DD										LC		
Notoraja sapphira								DD										DD		
Notoraja sticta	LC																	LC		
Okamejei arafurensis	LC																	LC		
Okamejei leptoura	LC																		LC	
Pavoraja arenaria	DD																	DD		
Pavoraja mosaica	LC																	LC		
Pavoraja pseudonitida	LC																	LC		
Rhynchobatus palpebratus					NT															
Sinobatis bulbicauda	LC																		DD	
Sinobatis caerulea	DD																		DD	
Sinobatis filicauda	DD																	DD		
Centrophorus westraliensis	DD																	LC		
Squalus acutirostris																			DD	
Squalus griffini								LC										LC		
Squalus suckleyi												LC								
Chlamydoselachus africana					LC											DD				
Squatina dumeril					LC															
Mobula birostris								VU										VU		
Hemiscyllium freycineti																		NT		
Cephaloscyllium fasciatum																		DD		
Dipturus polyommata	LC																	LC		
Dipturus canutus												EN								
Gymnura marmorata																			LC	
Gymnura crebripunctata																			DD	
Centrophorus moluccensis											LC			DD						
Centrophorus moluccensis											LC			DD						
Pristis pristis											CR									
Aetobatus ocellatus												VU								
Cruriraja hulleyi		LC			LC															
Trygonorrhina dumerilii	LC													LC						
Pristis pectinata			EN	EN						CR	CR									
Pristis pectinata			EN	EN						CR	CR									
Pristis pristis											CR									
Pristis pristis											CR									
Pristis pristis											CR									
Pristis pristis											CR									
Maculabatis randalli																	LC			
Potamotrygon tigrina												EN								
Carcharhinus coatesi					LC															
Carcharhinus dussumieri					EN															
Carcharhinus tjutjot					VU															
Pavoraja umbrosa	LC																			
Pastinachus ater												LC								
Pastinachus sephen																	NT			
Myliobatis tenuicaudatus												LC								
Dipturus confusus												CR								
Rajella challengeri	LC																			
Stegostoma tigrinum					EN							EN		VU						
Stegostoma tigrinum					EN							EN		VU						
Bathyraja panthera	LC																			
Tetronarce cowleyi					LC															
Aetomylaeus nichofii												VU								
Aetomylaeus caeruleofasciatus												LC								
Squalus acanthias										LC		VU		VU						
Pristiophorus nancyae					LC															
Planonasus parini																	LC			
Apristurus breviventralis																	LC			
Rhynchobatus immaculatus					CR															
Aetomylaeus milvus																	EN			
Glaucostegus cemiculus					CR															
Glaucostegus typus					CR															
Brevitrygon walga																	NT			
Acroteriobatus omanensis																	DD			
Okamejei ornata																	LC			
Maculabatis arabica																	CR			
Maculabatis ambigua					NT															
Carcharhinus humani					DD															
Mobula mobular					EN															
Bythaelurus tenuicephalus					LC															
Neotrygon kuhlii								DD												
Taeniura lessoni								DD												
Etmopterus granulosus								LC												
Apristurus garricki								LC												
Centroscymnus macracanthus								DD												
Typhlonarke aysoni								LC												
Bathyraja leucomelanos								LC												
Bathyraja pacifica								LC												
Brochiraja heuresa								DD												
Brochiraja vittacauda								DD												
Notoraja alisae								LC												
Notoraja fijiensis								LC												
Notoraja inusitata								LC												
Notoraja longiventralis								LC												
Chimaera carophila								LC												
Etmopterus viator								LC												
Squatina caillieti					DD															
Squatina david					NT															
Etmopterus alphus					LC															
Etmopterus compagnoi					LC															
Etmopterus sculptus					LC															
Bythaelurus bachi					DD															
Bythaelurus naylori					DD															
Rhinobatos austini					DD															
Rajella paucispinosa					LC															
Raja miraletus					LC															
Etmopterus unicolor								DD												
Mobula hypostoma					EN															
Squatina varii					LC															
Rhynchorhina mauritaniensis					CR															
Squatina guggenheim			EN		EN															
Bythaelurus lutarius					DD															
