status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
VU->NT	0.00054305	0.00008127	0.00099728	0.00046414	0.00015325	0.00055812	0.00025128	0.00049133	0.00002503	0.00052208	0.00008130	0.00051720	0.00019418	0.00003313	0.00050794	0.00050399	0.00154598	0.00031618	0.00073453	0.00021673	0.00063766	0.00012303	0.00016236	0.00023023	0.00010841	0.00016381	0.00074836	0.00116121	0.00044291	0.00039215	0.00022566	0.00030598	0.00019190	0.00037866	0.00009644	0.00012451	0.00042778	0.00039285	0.00135036	0.00061270	0.00003658	0.00040852	0.00050392	0.00045544	0.00005257	0.00043361	0.00033435	0.00010630	0.00063302	0.00059532	0.00003679	0.00013171	0.00042265	0.00278649	0.00018994	0.00009286	0.00053771	0.00011566	0.00007797	0.00017200	0.00004407	0.00015522	0.00003789	0.00038541	0.00021574	0.00052118	0.00058138	0.00008111	0.00177358	0.00015875	0.00022019	0.00025046	0.00042627	0.00004810	0.00056032	0.00114424	0.00095074	0.00000654	0.00001695	0.00010766	0.00026396	0.00015658	0.00109389	0.00007487	0.00076772	0.00076738	0.00001428	0.00007193	0.00026400	0.00017941	0.00077986	0.00000190	0.00018548	0.00107230	0.00003721	0.00003825	0.00026177	0.00008321	0.00031953	0.00006755
VU->EN	0.00749282	0.00796308	0.01009276	0.00775169	0.00497870	0.00684403	0.00763988	0.00526720	0.00899615	0.00364694	0.00461155	0.00626041	0.00369433	0.00627283	0.00349836	0.00692650	0.00243598	0.00718769	0.00824617	0.00342000	0.00600234	0.00464793	0.00867718	0.00565880	0.00944749	0.00618562	0.00416646	0.00456317	0.00964760	0.00693479	0.00438980	0.00593605	0.00479713	0.00657867	0.00941619	0.00284381	0.00479277	0.00439022	0.01267554	0.00594085	0.00527248	0.00408835	0.00541669	0.00642177	0.00708649	0.00699883	0.00619402	0.00203943	0.00506470	0.00474864	0.00417390	0.00442774	0.00539227	0.00443525	0.00267660	0.00866822	0.00343556	0.00348879	0.00582810	0.00293832	0.00663551	0.00310974	0.00497996	0.00865844	0.00449354	0.00582895	0.00698119	0.00430847	0.00492398	0.00588419	0.00501184	0.00808929	0.00367092	0.00483683	0.00359195	0.00820908	0.00623631	0.00497308	0.00516504	0.00423423	0.00314051	0.00660458	0.00432160	0.00792835	0.00555042	0.00467728	0.00498307	0.00533354	0.00559859	0.00343134	0.00592505	0.00418742	0.00441023	0.00377508	0.00587902	0.00590027	0.00240402	0.00463928	0.00436214	0.00413910
VU->CR	0.00743695	0.00752654	0.00411765	0.00842604	0.00554440	0.01160212	0.00526367	0.00799923	0.00629702	0.00878827	0.00497024	0.00946482	0.00724909	0.00504467	0.00664977	0.00579233	0.00469756	0.00693664	0.00545072	0.00860295	0.00774883	0.00538919	0.00684948	0.00511838	0.00757014	0.00800193	0.01124993	0.00531233	0.00758467	0.00765293	0.00613767	0.00691102	0.00867585	0.00394691	0.00729801	0.00886910	0.00593756	0.00544642	0.00723726	0.00654581	0.00500932	0.00783195	0.00309088	0.00516946	0.00556030	0.00556198	0.00493235	0.00769595	0.00966449	0.00672405	0.00533325	0.00647617	0.00668849	0.00607627	0.00830959	0.00954413	0.00742400	0.01126021	0.00411665	0.00600795	0.01082859	0.00812615	0.00913515	0.01231584	0.00688539	0.00734109	0.00722472	0.00782292	0.00660780	0.00521752	0.00650473	0.00524586	0.00619943	0.00591515	0.00632741	0.00718345	0.00613237	0.00895943	0.00582525	0.00581501	0.00680434	0.00757284	0.01026095	0.01065036	0.00339374	0.00883701	0.00523658	0.00822917	0.00354300	0.00500077	0.00905667	0.00836906	0.00435139	0.00743993	0.00813880	0.00619934	0.00479139	0.00658749	0.00579571	0.00580444
VU->DD	0.00117525	0.00115969	0.00117570	0.00163119	0.00127872	0.00105209	0.00096004	0.00113667	0.00091020	0.00098461	0.00070668	0.00080571	0.00039208	0.00032865	0.00047763	0.00032735	0.00116865	0.00118110	0.00077202	0.00232939	0.00123253	0.00071924	0.00107466	0.00059869	0.00191153	0.00059911	0.00101838	0.00039935	0.00045364	0.00098453	0.00095336	0.00106929	0.00062036	0.00137790	0.00093444	0.00115184	0.00051878	0.00096104	0.00062285	0.00051162	0.00084792	0.00044925	0.00099398	0.00045398	0.00176683	0.00100935	0.00107160	0.00133071	0.00088808	0.00259315	0.00234778	0.00060346	0.00144816	0.00071867	0.00035599	0.00199668	0.00111963	0.00055551	0.00027074	0.00139547	0.00148373	0.00185561	0.00065036	0.00102446	0.00117717	0.00060563	0.00205239	0.00076111	0.00045516	0.00116822	0.00073384	0.00182092	0.00081283	0.00124557	0.00045280	0.00080564	0.00052080	0.00063242	0.00108586	0.00027162	0.00089266	0.00172370	0.00106998	0.00234379	0.00106920	0.00112839	0.00107312	0.00268274	0.00026417	0.00089083	0.00227908	0.00027341	0.00048847	0.00074256	0.00198006	0.00044631	0.00147371	0.00151829	0.00164228	0.00278637
EN->LC	0.00019191	0.00001799	0.00027710	0.00366354	0.00147459	0.00107107	0.00139122	0.00677484	0.00275544	0.00160805	0.00002268	0.00205757	0.00162046	0.00001059	0.00085545	0.00016726	0.00281553	0.00034707	0.00097852	0.00205162	0.00131512	0.00016104	0.00213268	0.00053062	0.00578362	0.00201455	0.00109548	0.00028708	0.00016602	0.00071053	0.00479120	0.00023497	0.00069652	0.00044223	0.00023792	0.00043081	0.00094429	0.00009617	0.00029344	0.00200937	0.00031070	0.00142339	0.00171802	0.00049922	0.00038465	0.00106123	0.00000970	0.00019303	0.00095223	0.00079499	0.00021477	0.00140483	0.00076447	0.00110805	0.00204341	0.00021858	0.00021479	0.00122298	0.00007798	0.00213831	0.00362403	0.00277543	0.00058962	0.00171554	0.00204601	0.00065828	0.00019889	0.00290865	0.00138697	0.00285904	0.00082073	0.00164510	0.00212561	0.00128147	0.00050272	0.00017693	0.00092384	0.00110975	0.00291341	0.00021333	0.00085677	0.00166692	0.00152705	0.00016196	0.00091631	0.00236890	0.00049647	0.00071557	0.00070865	0.00045846	0.00016881	0.00106581	0.00039380	0.00018306	0.00135574	0.00000391	0.00179356	0.00061401	0.00002927	0.00075704
EN->NT	0.00433243	0.00135093	0.00296205	0.00257754	0.00138823	0.00158912	0.00167723	0.00129816	0.00805165	0.00157350	0.00318728	0.00356332	0.00179372	0.00446055	0.00407303	0.00402004	0.00311600	0.00223370	0.00281402	0.00109611	0.00173967	0.00122463	0.00421485	0.00586084	0.00268047	0.00474611	0.00147619	0.00426371	0.00285284	0.00289386	0.00156478	0.00641833	0.00083742	0.00133855	0.00065719	0.00216702	0.00450795	0.00207096	0.00119951	0.00156968	0.00557915	0.00080785	0.00189671	0.00201142	0.00269410	0.00437345	0.00035222	0.00250301	0.00617244	0.00154945	0.00356570	0.00158504	0.00399201	0.01591186	0.00236672	0.00127936	0.00263200	0.00368063	0.00163844	0.00358455	0.00353389	0.00411993	0.00151729	0.00138354	0.00200857	0.00217188	0.00114597	0.00559306	0.00306983	0.00101143	0.00731884	0.00232047	0.00148671	0.00255296	0.00155441	0.00333005	0.00465871	0.00044202	0.00200304	0.00945207	0.00317566	0.00280563	0.00340700	0.00302838	0.00530628	0.00179884	0.00474185	0.00361985	0.00612672	0.00097744	0.00351875	0.00678723	0.00043734	0.00442042	0.00167703	0.00306788	0.00251358	0.00266756	0.00087523	0.00267990
EN->VU	0.00246815	0.00216623	0.00357921	0.00368676	0.00080902	0.00013313	0.00012320	0.00017791	0.00231119	0.00113740	0.00280517	0.00020697	0.00257363	0.00045091	0.00060027	0.00287883	0.00087204	0.00033199	0.00310632	0.00245250	0.00141449	0.00020666	0.00103975	0.00208846	0.00222139	0.00283420	0.00079903	0.00022607	0.00279737	0.00088121	0.00025743	0.00026807	0.00127754	0.00055697	0.00574838	0.00052384	0.00124070	0.00032765	0.00514511	0.00028349	0.00239421	0.00023950	0.00062582	0.00013708	0.00052688	0.00032157	0.00052248	0.00032488	0.00120497	0.00177466	0.00083874	0.00098386	0.00007611	0.00038920	0.00661609	0.00090950	0.00015822	0.00057830	0.00020415	0.00047222	0.00005441	0.00264620	0.00050579	0.00310976	0.00016711	0.00050110	0.00009181	0.00032489	0.00021768	0.00167034	0.00048069	0.00119638	0.00058585	0.00316731	0.00115169	0.00489133	0.00026510	0.00360916	0.00014156	0.00016739	0.00048497	0.00188092	0.00079067	0.00094733	0.00040410	0.00061322	0.00025517	0.00027997	0.00029820	0.00063053	0.00139384	0.00190020	0.00027292	0.00343612	0.00009203	0.00149151	0.00063925	0.00087269	0.00024733	0.00186384
EN->CR	0.01892734	0.00698557	0.00555825	0.01206446	0.00960623	0.00930206	0.00725291	0.00851552	0.01166977	0.00711783	0.01931346	0.01196615	0.01015876	0.00865119	0.00774357	0.01302472	0.00798551	0.00481778	0.01218150	0.00489823	0.00547972	0.00937175	0.00728037	0.01011092	0.01099843	0.00891661	0.01247568	0.01283240	0.00708275	0.00666680	0.01158150	0.01058958	0.01014342	0.00976444	0.01013219	0.01005860	0.01131574	0.00738274	0.00810623	0.01056937	0.01155479	0.01514722	0.00634650	0.01224422	0.01008219	0.00969087	0.00616925	0.01108358	0.01203277	0.00910209	0.01181699	0.00940682	0.01359565	0.01119179	0.01235403	0.01360753	0.01036746	0.00662517	0.00740533	0.00716075	0.01327429	0.01375566	0.01106618	0.00720045	0.01721214	0.01389396	0.00816918	0.00835359	0.00764774	0.00920011	0.00784508	0.01731290	0.01028884	0.00876801	0.01027741	0.01079235	0.00552257	0.01370500	0.00974570	0.00841528	0.00529806	0.01413248	0.00886325	0.00611508	0.00580579	0.01480430	0.01223828	0.00989028	0.01036586	0.00760585	0.00640350	0.00771709	0.01370808	0.00985724	0.01014368	0.01170018	0.00241039	0.01214817	0.00973418	0.01141036
EN->DD	0.00078185	0.00071065	0.00075767	0.00066604	0.00122704	0.00012613	0.00006699	0.00272172	0.01230456	0.00010758	0.00086530	0.00132943	0.00048506	0.00070774	0.00005728	0.00010394	0.00014974	0.00105193	0.00346390	0.00023962	0.00146461	0.00056811	0.00001427	0.00209358	0.00005031	0.00006442	0.00006515	0.00024143	0.00201720	0.00002817	0.00004720	0.00052360	0.00456781	0.00001882	0.00134530	0.00211000	0.00090275	0.00084948	0.00042231	0.00112690	0.00165125	0.00016551	0.00002105	0.00316795	0.00216512	0.00320760	0.00082038	0.00085463	0.00008342	0.00195794	0.00028693	0.00015235	0.00229212	0.00004735	0.00022723	0.00134669	0.00346288	0.00352605	0.00345945	0.00135698	0.00012887	0.00009816	0.00132328	0.00003933	0.00135833	0.00164390	0.00221452	0.00080226	0.00035714	0.00000836	0.00056594	0.00212762	0.00075117	0.00008968	0.00084921	0.00051899	0.00068318	0.00155771	0.00035930	0.00025642	0.00008358	0.00027998	0.00013087	0.00031393	0.00011000	0.00051259	0.00074194	0.00104779	0.00030283	0.00012544	0.00084453	0.00053340	0.00064596	0.00009610	0.00002407	0.00217849	0.00080400	0.00002131	0.00048466	0.00053341
CR->LC	0.00285160	0.00546623	0.00344845	0.00913416	0.00872481	0.00742362	0.00849470	0.00358938	0.00992480	0.01201807	0.01592268	0.00360492	0.00495674	0.00695449	0.00519766	0.01528826	0.00566445	0.00664872	0.00137995	0.00247373	0.00508544	0.00626292	0.00378764	0.00429049	0.00894494	0.01192020	0.00627622	0.00618120	0.00547670	0.00213418	0.00552957	0.00991175	0.01247495	0.00483337	0.00754444	0.01167612	0.00311430	0.00594298	0.00745890	0.00291848	0.00354996	0.00085427	0.00627815	0.00345636	0.00318343	0.00890961	0.00243992	0.00635218	0.00356070	0.01165671	0.00234287	0.00142378	0.01230948	0.00304705	0.00716346	0.00216405	0.00884878	0.00324542	0.01034657	0.01019406	0.00343724	0.00790078	0.00151322	0.00321498	0.00428379	0.00474710	0.00859770	0.00993119	0.00333346	0.00399391	0.00171841	0.00447730	0.01352458	0.00464346	0.00524142	0.01099268	0.00641970	0.00524018	0.00253597	0.00726876	0.01610956	0.00600706	0.01358024	0.00889193	0.01256229	0.01498067	0.00517260	0.00873970	0.00935389	0.00992830	0.00562012	0.00347784	0.00277810	0.00838518	0.00418182	0.00474302	0.00210948	0.00971612	0.00397967	0.00703619
